,Fund Name,Fund Size,Fund Rating
0,Nippon India Large Cap Fund,"₹12,922 Crs",3
1,DSP Nifty 50 Equal Weight Index Fund,₹496 Crs,3
2,ICICI Prudential Bluechip Fund,"₹35,049 Crs",4
3,Canara Robeco Bluechip Equity Fund,"₹8,666 Crs",5
4,Kotak Bluechip Fund,"₹5,256 Crs",5
5,HDFC Top 100 Fund,"₹22,703 Crs",2
6,SBI Bluechip Fund,"₹35,617 Crs",3
7,Edelweiss Large Cap Fund,₹392 Crs,4
8,Baroda BNP Paribas Large Cap Fund,"₹1,381 Crs",5
9,Tata Large Cap Fund,"₹1,438 Crs",2
10,IDFC Nifty 50 Index,₹582 Crs,4
11,Mirae Asset Large Cap Fund,"₹35,407 Crs",4
12,Nippon India Index S&P BSE Sensex,₹358 Crs,4
13,UTI Nifty 50 Index Fund,"₹9,503 Crs",3
14,ICICI Prudential S&P BSE Sensex Index Fund,₹647 Crs,4
