,Fund Name,Fund Size,Fund Rating
0,Tata Nifty 50 Index Fund,₹339 Crs,3
1,HDFC Index S&P BSE Sensex Fund,"₹4,142 Crs",4
2,ICICI Prudential Nifty 50 Index Fund,"₹3,927 Crs",3
3,Nippon India Index Nifty 50,₹637 Crs,3
4,HDFC Index Fund Nifty 50 Plan,"₹7,411 Crs",3
5,SBI Nifty Index Fund,"₹3,199 Crs",3
6,Tata S&P BSE Sensex Index Fund,₹177 Crs,4
7,Aditya Birla Sun Life Nifty 50 Index Fund,₹512 Crs,3
8,Aditya Birla Sun Life Frontline Equity Fund,"₹22,063 Crs",2
9,Franklin India NSE Nifty 50 Index,₹502 Crs,3
10,UTI Mastershare Fund,"₹11,039 Crs",4
11,Invesco India Largecap Fund,₹748 Crs,4
12,Sundaram Nifty 100 Equal Weight Fund,₹57 Crs,2
13,PGIM India Large Cap Fund,₹441 Crs,2
14,HSBC Large Cap Fund,"₹1,501 Crs",2
15,IDFC Large Cap Fund,"₹1,081 Crs",3
16,Franklin India Bluechip Fund,"₹6,495 Crs",2
17,ICICI Prudential Nifty Next 50 Index Fund,"₹2,585 Crs",1
18,Axis Bluechip Fund,"₹35,198 Crs",5
19,DSP Top 100 Equity Fund,"₹2,701 Crs",1
20,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund,₹149 Crs,N.A.
21,Aditya Birla Sun Life Nifty Next 50 Index Fund,₹37 Crs,N.A.
22,Axis Nifty 50 Index Fund,₹195 Crs,N.A.
23,Axis Nifty Next 50 Index Fund,₹78 Crs,N.A.
24,DSP Nifty 50 Index Fund,₹257 Crs,3
25,DSP Nifty Next 50 Index Fund,₹244 Crs,3
26,Edelweiss Nifty 100 Quality 30 Index Fund,₹12 Crs,N.A.
27,Edelweiss Nifty 50 Index Fund,₹11 Crs,N.A.
28,Edelweiss Nifty Next 50 Index Fund,₹21 Crs,N.A.
29,HDFC NIFTY 100 Equal Weight Index Fund,₹76 Crs,N.A.
30,HDFC NIFTY Next 50 Index Fund,₹372 Crs,N.A.
31,HDFC NIFTY50 Equal Weight Index Fund,₹527 Crs,N.A.
32,HDFC Nifty 100 Index Fund,₹92 Crs,N.A.
33,HSBC Nifty 50 Index Fund,₹139 Crs,N.A.
34,HSBC Nifty Next 50 Index Fund,₹62 Crs,N.A.
35,ICICI Prudential BHARAT 22 FOF Scheme,₹75 Crs,4
36,ICICI Prudential Nifty 100 Low Volatility 30 ETF FOF,₹654 Crs,N.A.
37,ICICI Prudential Nifty 200 Momentum 30 Index Fund,₹14 Crs,N.A.
38,ICICI Prudential Nifty Alpha Low - Volatility 30 ETF FOF,₹165 Crs,N.A.
39,ICICI Prudential Nifty50 Equal Weight Index Fund,₹12 Crs,N.A.
40,IDFC Nifty100 Low Volatility 30 Index Fund,₹8 Crs,N.A.
41,IDFC Nifty200 Momentum 30 Index Fund,₹14 Crs,N.A.
42,Kotak Nifty 50 Index Fund,₹252 Crs,N.A.
43,Kotak Nifty Next 50 Index Fund,₹103 Crs,N.A.
44,Mirae Asset Equity Allocator FoF,₹421 Crs,N.A.
45,Motilal Oswal Nifty 200 Momentum 30 Index Fund,₹145 Crs,N.A.
46,Motilal Oswal Nifty 50 Index Fund,₹230 Crs,3
47,Motilal Oswal Nifty Next 50 Index Fund,₹139 Crs,3
48,Motilal Oswal S&P BSE Low Volatility Index Fund,₹14 Crs,N.A.
49,Motilal Oswal S&P BSE Quality Index Fund,₹5 Crs,N.A.
50,Navi Nifty 50 Index Fund,₹621 Crs,N.A.
51,Navi Nifty Next 50 Index Fund,₹97 Crs,N.A.
52,Nippon India Nifty Next 50 Junior BeES FoF,₹166 Crs,3
53,Nippon India Nifty 50 Value 20 Index Fund,₹212 Crs,N.A.
54,Nippon India Nifty Alpha Low Volatility 30 Index Fund,₹43 Crs,N.A.
55,Quant Large Cap Fund,₹261 Crs,N.A.
56,Quantum Nifty 50 ETF FoF,₹15 Crs,N.A.
57,SBI Nifty Next 50 Index Fund,₹481 Crs,N.A.
58,Sundaram Large Cap Fund,"₹3,172 Crs",5
59,UTI Nifty Next 50 Index Fund,"₹2,112 Crs",3
60,UTI Nifty200 Momentum 30 Index Fund,"₹2,163 Crs",N.A.
61,UTI S&P BSE Low Volatility Index Fund,₹114 Crs,N.A.
62,UTI S&P BSE Sensex Index Fund,₹127 Crs,N.A.
